step,split,total,mse,l2,entropy,mag,canon,noncanon,canon_usage,helix
0,train,0.8447765527839655,0.5947572826810675,0.343837681706468,0.0,0.0,0.0,0.0,-0.09381841160356999,0.0
0,val,0.7925438063932067,0.5700514189519594,0.31927362858995717,0.0,0.0,0.0,0.0,-0.09678124114871026,0.0
1,train,0.7567950697518259,0.5640715237933238,0.29947051980088457,0.0,0.0,0.0,0.0,-0.10674697384238244,0.0
1,val,0.7273942813505283,0.5419200094061423,0.2795994168730796,0.0,0.0,0.0,0.0,-0.09412514492869377,0.0
2,train,0.7251023878634125,0.5600208013960459,0.26303721569691235,0.0,0.0,0.0,0.0,-0.0979556292295456,0.0
2,val,0.7000971878351099,0.576593292639245,0.24602991836025642,0.0,0.0,0.0,0.0,-0.12252602316439151,0.0
3,train,0.6969616185211926,0.564034255311426,0.23314914669130507,0.0,0.0,0.0,0.0,-0.10022178348153829,0.0
3,val,0.6784558132834975,0.5636295594062364,0.2188604791474132,0.0,0.0,0.0,0.0,-0.10403422527015209,0.0
4,train,0.6724703926776463,0.5692815271396082,0.20705523332516074,0.0,0.0,0.0,0.0,-0.10386636778712273,0.0
4,val,0.6322063799219265,0.5391785487132001,0.1950113866150583,0.0,0.0,0.0,0.0,-0.10198355540633201,0.0
5,train,0.6484722689020957,0.5724947207576868,0.18477249436790616,0.0,0.0,0.0,0.0,-0.10879494622349739,0.0
5,val,0.6270422453171987,0.5709379119859241,0.17369039319961027,0.0,0.0,0.0,0.0,-0.11758605986833573,0.0
6,train,0.6393947360810996,0.5657434612726114,0.16495323195382133,0.0,0.0,0.0,0.0,-0.09130195714533329,0.0
6,val,0.6016679584624667,0.5582288151610669,0.1559101367010198,0.0,0.0,0.0,0.0,-0.11247099339962005,0.0
7,train,0.6161377712472083,0.5821252263497078,0.14850929751724368,0.0,0.0,0.0,0.0,-0.11449675261974335,0.0
7,val,0.594572003655736,0.5547190827862983,0.1418619580064693,0.0,0.0,0.0,0.0,-0.10200903713703155,0.0
