step,split,total,mse,l2,entropy,mag,canon,noncanon,canon_usage,helix
0,train,0.8248302220379206,0.4356148312425563,0.012719010227813571,0.0,0.37649638056755064,0.0,0.0,0.0,0.0
0,val,0.9557631711523267,0.5224453943730207,0.012628646949899219,0.0,0.42068912982940676,0.0,0.0,0.0,0.0
1,train,0.8605828779927002,0.4787408723100789,0.01255609138074914,0.0,0.36928591430187224,0.0,0.0,0.0,0.0
1,val,0.9291645128832365,0.504279230479249,0.012469431248070834,0.0,0.41241585115591683,0.0,0.0,0.0,0.0
2,train,0.8877047694616655,0.48423398165569526,0.012408802313263747,0.0,0.3910619854927063,0.0,0.0,0.0,0.0
2,val,1.0140341574497322,0.5619590336375321,0.012337124372960402,0.0,0.4397379994392395,0.0,0.0,0.0,0.0
3,train,0.8200740654197436,0.44235333928021286,0.012288459248528071,0.0,0.36543226689100267,0.0,0.0,0.0,0.0
3,val,0.9716897730905824,0.5246291172798281,0.012249290206353564,0.0,0.43481136560440065,0.0,0.0,0.0,0.0
4,train,0.8178023236418568,0.436461637910422,0.012224109715485564,0.0,0.36911657601594927,0.0,0.0,0.0,0.0
4,val,0.936033971426344,0.5045323679090891,0.012195812059760886,0.0,0.4193057914574941,0.0,0.0,0.0,0.0
5,train,0.8636160784324908,0.49643600566922325,0.012168898680511665,0.0,0.35501117408275606,0.0,0.0,0.0,0.0
5,val,0.9591684979853063,0.5227095388357332,0.012140339580430594,0.0,0.4243186195691427,0.0,0.0,0.0,0.0
6,train,0.9135152565447002,0.49980991043575695,0.01211510014680025,0.0,0.40159024596214293,0.0,0.0,0.0,0.0
6,val,0.9180397514541235,0.5057833574728294,0.012076948237733308,0.0,0.4001794457435608,0.0,0.0,0.0,0.0
7,train,0.9020356470425414,0.48681211871726393,0.012053385257440628,0.0,0.4031701430678368,0.0,0.0,0.0,0.0
7,val,0.9345704567626477,0.5177341935564124,0.012046916749707374,0.0,0.4047893464565277,0.0,0.0,0.0,0.0
8,train,0.8830621788495486,0.4687247647310559,0.012050556751930815,0.0,0.4022868573665619,0.0,0.0,0.0,0.0
8,val,0.8624718144377334,0.4620941164497049,0.012038984143411332,0.0,0.3883387138446172,0.0,0.0,0.0,0.0
9,train,0.7983012477345833,0.4425220042028532,0.01201348704388375,0.0,0.34376575648784635,0.0,0.0,0.0,0.0
9,val,0.9064597394922355,0.5026956999125195,0.011988584502226745,0.0,0.39177545507748923,0.0,0.0,0.0,0.0
10,train,0.9670588151397606,0.5412230018508398,0.011967576747172729,0.0,0.41386823654174804,0.0,0.0,0.0,0.0
10,val,0.917454083289212,0.5052346227937584,0.011941858816287626,0.0,0.40027760167916615,0.0,0.0,0.0,0.0
11,train,0.8147733143413856,0.44938761323806686,0.011929734392274523,0.0,0.3534559667110443,0.0,0.0,0.0,0.0
11,val,0.9132777000934137,0.5002641372546197,0.011909140428464807,0.0,0.4011044224103292,0.0,0.0,0.0,0.0
12,train,0.8344326298036757,0.4683319396125828,0.011903262560668284,0.0,0.3541974276304245,0.0,0.0,0.0,0.0
12,val,0.9488746973724475,0.5151886572803507,0.011895182975715459,0.0,0.4217908571163813,0.0,0.0,0.0,0.0
13,train,1.0540357150675954,0.5638412740738298,0.011892447981337257,0.0,0.47830199301242826,0.0,0.0,0.0,0.0
13,val,0.9252801885493022,0.5021100779019095,0.011881777708244683,0.0,0.41128833293914796,0.0,0.0,0.0,0.0
