step,split,total,mse,l2,entropy,mag,canon,noncanon,canon_usage,helix
45,train,0.29099246000029894,0.05389973322550456,0.23709272677479437,0.0,0.0,0.0,0.0,0.0,0.0
45,val,0.27659055721139814,0.0498793093363444,0.22671124787505373,0.0,0.0,0.0,0.0,0.0,0.0
46,train,0.28443127760255194,0.05393738428751627,0.23049389331503567,0.0,0.0,0.0,0.0,0.0,0.0
46,val,0.2702929651796946,0.049919268290201824,0.22037369688949274,0.0,0.0,0.0,0.0,0.0,0.0
47,train,0.27809223492012425,0.053990929921468096,0.22410130499865613,0.0,0.0,0.0,0.0,0.0,0.0
47,val,0.26417833163083976,0.049942245483398436,0.2142360861474413,0.0,0.0,0.0,0.0,0.0,0.0
48,train,0.27195273269544756,0.054042542775472005,0.21791018991997557,0.0,0.0,0.0,0.0,0.0,0.0
48,val,0.25827206610964,0.04997843742370606,0.20829362868593393,0.0,0.0,0.0,0.0,0.0,0.0
49,train,0.26601347703295886,0.05409860610961914,0.21191487092333972,0.0,0.0,0.0,0.0,0.0,0.0
49,val,0.252550878413633,0.05001018524169922,0.2025406931719338,0.0,0.0,0.0,0.0,0.0,0.0
50,train,0.2602653595991759,0.054155133565266925,0.20611022603390897,0.0,0.0,0.0,0.0,0.0,0.0
50,val,0.24701263119880948,0.05004044532775879,0.1969721858710507,0.0,0.0,0.0,0.0,0.0,0.0
51,train,0.2546929963021091,0.0542019780476888,0.20049101825442034,0.0,0.0,0.0,0.0,0.0,0.0
51,val,0.24164699559759217,0.05006408055623372,0.19158291504135844,0.0,0.0,0.0,0.0,0.0,0.0
52,train,0.24932012983427893,0.05426793416341146,0.19505219567086746,0.0,0.0,0.0,0.0,0.0,0.0
52,val,0.23645172776806606,0.05008385022481283,0.18636787754325324,0.0,0.0,0.0,0.0,0.0,0.0
53,train,0.24411625607422438,0.05432748158772786,0.18978877448649653,0.0,0.0,0.0,0.0,0.0,0.0
53,val,0.23144678173029792,0.05012463887532552,0.18132214285497242,0.0,0.0,0.0,0.0,0.0,0.0
54,train,0.23908116144176353,0.054385255177815756,0.18469590626394777,0.0,0.0,0.0,0.0,0.0,0.0
54,val,0.22659025884173792,0.05014933904012044,0.17644091980161747,0.0,0.0,0.0,0.0,0.0,0.0
55,train,0.23421289918193686,0.05444454828898112,0.17976835089295573,0.0,0.0,0.0,0.0,0.0,0.0
55,val,0.22189096390721666,0.050171906153361,0.17171905775385565,0.0,0.0,0.0,0.0,0.0,0.0
56,train,0.22949375749333875,0.054492321014404294,0.17500143647893446,0.0,0.0,0.0,0.0,0.0,0.0
56,val,0.21735759709502683,0.05020564397176107,0.16715195312326578,0.0,0.0,0.0,0.0,0.0,0.0
57,train,0.22493518776694263,0.054545021057128905,0.17039016670981372,0.0,0.0,0.0,0.0,0.0,0.0
57,val,0.2129577795520926,0.050223073959350585,0.16273470559274203,0.0,0.0,0.0,0.0,0.0,0.0
58,train,0.2205340957005162,0.05460405985514323,0.16593003584537297,0.0,0.0,0.0,0.0,0.0,0.0
58,val,0.2087020551379203,0.05023916562398275,0.15846288951393755,0.0,0.0,0.0,0.0,0.0,0.0
59,train,0.216273298244102,0.05465695063273112,0.16161634761137086,0.0,0.0,0.0,0.0,0.0,0.0
59,val,0.2045925317635001,0.05026062647501628,0.1543319052884838,0.0,0.0,0.0,0.0,0.0,0.0
60,train,0.2121625437967218,0.05471770604451497,0.15744483775220683,0.0,0.0,0.0,0.0,0.0,0.0
60,val,0.20062094566590669,0.05028337160746257,0.1503375740584441,0.0,0.0,0.0,0.0,0.0,0.0
61,train,0.20817280437269006,0.05476226806640625,0.15341053630628382,0.0,0.0,0.0,0.0,0.0,0.0
61,val,0.19676666106444213,0.05029160817464193,0.1464750528898002,0.0,0.0,0.0,0.0,0.0,0.0
62,train,0.2043058917912906,0.054796422322591146,0.14950946946869947,0.0,0.0,0.0,0.0,0.0,0.0
62,val,0.19303466791420057,0.0502942148844401,0.14274045302976046,0.0,0.0,0.0,0.0,0.0,0.0
63,train,0.2005779113210765,0.05484084447224935,0.14573706684882715,0.0,0.0,0.0,0.0,0.0,0.0
63,val,0.1894256164473005,0.0502962875366211,0.1391293289106794,0.0,0.0,0.0,0.0,0.0,0.0
64,train,0.19697021484990596,0.05488094329833984,0.14208927155156612,0.0,0.0,0.0,0.0,0.0,0.0
64,val,0.18592783193260115,0.05029010454813639,0.13563772738446475,0.0,0.0,0.0,0.0,0.0,0.0
65,train,0.19347388449672065,0.05491170883178711,0.13856217566493353,0.0,0.0,0.0,0.0,0.0,0.0
65,val,0.18254653061272658,0.050284687678019205,0.13226184293470739,0.0,0.0,0.0,0.0,0.0,0.0
66,train,0.1900919600308748,0.05494045893351237,0.13515150109736243,0.0,0.0,0.0,0.0,0.0,0.0
66,val,0.1792737724022988,0.05027624448140462,0.12899752792089417,0.0,0.0,0.0,0.0,0.0,0.0
67,train,0.18682978977528641,0.054976552327473956,0.13185323744781247,0.0,0.0,0.0,0.0,0.0,0.0
67,val,0.1760951443741153,0.05025424957275391,0.1258408948013614,0.0,0.0,0.0,0.0,0.0,0.0
68,train,0.18365147881669602,0.05498790105183919,0.12866357776485682,0.0,0.0,0.0,0.0,0.0,0.0
68,val,0.1730265985232753,0.05023834546407064,0.12278825305920466,0.0,0.0,0.0,0.0,0.0,0.0
69,train,0.18058338819003922,0.05500457763671875,0.12557881055332046,0.0,0.0,0.0,0.0,0.0,0.0
69,val,0.17005229431022728,0.05021628379821777,0.1198360105120095,0.0,0.0,0.0,0.0,0.0,0.0
70,train,0.17760864445973515,0.055013262430826826,0.12259538202890832,0.0,0.0,0.0,0.0,0.0,0.0
70,val,0.16716419896983067,0.05018347104390462,0.11698072792592605,0.0,0.0,0.0,0.0,0.0,0.0
71,train,0.17473700382419285,0.055027071634928384,0.11970993218926447,0.0,0.0,0.0,0.0,0.0,0.0
71,val,0.16436516477760338,0.0501460075378418,0.11421915723976157,0.0,0.0,0.0,0.0,0.0,0.0
72,train,0.1719401240317302,0.05502136866251628,0.11691875536921391,0.0,0.0,0.0,0.0,0.0,0.0
72,val,0.16165479685975487,0.05010707219441732,0.11154772466533754,0.0,0.0,0.0,0.0,0.0,0.0
73,train,0.16922612005915946,0.055007610321044925,0.11421850973811454,0.0,0.0,0.0,0.0,0.0,0.0
73,val,0.15902757193234987,0.05006436347961426,0.1089632084527356,0.0,0.0,0.0,0.0,0.0,0.0
74,train,0.16661127586966112,0.05500546137491862,0.1116058144947425,0.0,0.0,0.0,0.0,0.0,0.0
74,val,0.15647449829159113,0.05001214345296224,0.1064623548386289,0.0,0.0,0.0,0.0,0.0,0.0
75,train,0.16404836864877442,0.05497042973836263,0.10907793891041179,0.0,0.0,0.0,0.0,0.0,0.0
75,val,0.1539923503296663,0.04994982401529948,0.10404252631436682,0.0,0.0,0.0,0.0,0.0,0.0
76,train,0.16158300744252133,0.05495145797729492,0.1066315494652264,0.0,0.0,0.0,0.0,0.0,0.0
76,val,0.1515915016482004,0.04989097913106282,0.10170052251713757,0.0,0.0,0.0,0.0,0.0,0.0
77,train,0.15918078995614893,0.054916884104410806,0.10426390585173813,0.0,0.0,0.0,0.0,0.0,0.0
77,val,0.14925670453581436,0.049822998046875,0.09943370648893937,0.0,0.0,0.0,0.0,0.0,0.0
78,train,0.15685415140417971,0.05488228480021159,0.10197186660396812,0.0,0.0,0.0,0.0,0.0,0.0
78,val,0.1469777452231248,0.049738680521647136,0.09723906470147764,0.0,0.0,0.0,0.0,0.0,0.0
79,train,0.15458959413979678,0.05483664830525716,0.09975294583453961,0.0,0.0,0.0,0.0,0.0,0.0
79,val,0.1447730517192694,0.04965884208679199,0.09511420963247741,0.0,0.0,0.0,0.0,0.0,0.0
80,train,0.1523885171307208,0.05478433609008789,0.09760418104063291,0.0,0.0,0.0,0.0,0.0,0.0
80,val,0.1426330397146143,0.04957673708597819,0.09305630262863611,0.0,0.0,0.0,0.0,0.0,0.0
81,train,0.15024613721438895,0.05472306569417318,0.09552307152021577,0.0,0.0,0.0,0.0,0.0,0.0
81,val,0.14055252250321218,0.04948957443237305,0.09106294807083913,0.0,0.0,0.0,0.0,0.0,0.0
82,train,0.14817697867778185,0.054670003255208335,0.09350697542257351,0.0,0.0,0.0,0.0,0.0,0.0
82,val,0.13852733822319646,0.04939571698506673,0.08913162123812975,0.0,0.0,0.0,0.0,0.0,0.0
83,train,0.14614880477505032,0.054595266977945964,0.09155353779710437,0.0,0.0,0.0,0.0,0.0,0.0
83,val,0.13654894965134462,0.049288883209228515,0.08726006644211612,0.0,0.0,0.0,0.0,0.0,0.0
84,train,0.14417925519942074,0.054518788655598956,0.08966046654382177,0.0,0.0,0.0,0.0,0.0,0.0
84,val,0.13462851177605592,0.04918241818745931,0.0854460935885966,0.0,0.0,0.0,0.0,0.0,0.0
85,train,0.14226564827867114,0.05444016138712565,0.08782548689154548,0.0,0.0,0.0,0.0,0.0,0.0
85,val,0.1327729536090922,0.04908542315165202,0.08368753045744018,0.0,0.0,0.0,0.0,0.0,0.0
86,train,0.14039937921067833,0.05435314178466797,0.08604623742601036,0.0,0.0,0.0,0.0,0.0,0.0
86,val,0.13095390089699815,0.04897177696228027,0.08198212393471789,0.0,0.0,0.0,0.0,0.0,0.0
87,train,0.13858527687564015,0.054264424641927086,0.08432085223371306,0.0,0.0,0.0,0.0,0.0,0.0
87,val,0.12918593841597265,0.048857844670613604,0.08032809374535903,0.0,0.0,0.0,0.0,0.0,0.0
88,train,0.13680848575932975,0.05416128158569336,0.0826472041736364,0.0,0.0,0.0,0.0,0.0,0.0
88,val,0.12746410252017346,0.048740692138671875,0.07872341038150159,0.0,0.0,0.0,0.0,0.0,0.0
89,train,0.13508289763640569,0.05405953089396159,0.08102336674244409,0.0,0.0,0.0,0.0,0.0,0.0
89,val,0.12578945555615756,0.048623215357462564,0.07716624019869499,0.0,0.0,0.0,0.0,0.0,0.0
90,train,0.13340255738455487,0.05395531336466471,0.07944724401989016,0.0,0.0,0.0,0.0,0.0,0.0
90,val,0.12415129582756479,0.048496707280476885,0.07565458854708791,0.0,0.0,0.0,0.0,0.0,0.0
91,train,0.13177099374774368,0.053853848775227864,0.07791714497251581,0.0,0.0,0.0,0.0,0.0,0.0
91,val,0.1225668563180531,0.048380009333292645,0.07418684698476045,0.0,0.0,0.0,0.0,0.0,0.0
92,train,0.13017084612550311,0.05373935063680013,0.07643149548870297,0.0,0.0,0.0,0.0,0.0,0.0
92,val,0.12101503976649071,0.04825352350870768,0.07276151625778303,0.0,0.0,0.0,0.0,0.0,0.0
93,train,0.12861854870549258,0.05362990697224935,0.07498864173324324,0.0,0.0,0.0,0.0,0.0,0.0
93,val,0.11950261522890687,0.04812559127807617,0.0713770239508307,0.0,0.0,0.0,0.0,0.0,0.0
94,train,0.12710439079367242,0.05351755142211914,0.07358683937155326,0.0,0.0,0.0,0.0,0.0,0.0
94,val,0.11803167761323874,0.04799996376037598,0.07003171385286276,0.0,0.0,0.0,0.0,0.0,0.0
95,train,0.1256187039801996,0.0533943239847819,0.07222437999541767,0.0,0.0,0.0,0.0,0.0,0.0
95,val,0.11659094392493932,0.04786698341369629,0.06872396051124303,0.0,0.0,0.0,0.0,0.0,0.0
96,train,0.12417355530191442,0.05327357292175293,0.07089998238016149,0.0,0.0,0.0,0.0,0.0,0.0
96,val,0.11519506095870996,0.047742513020833335,0.06745254793787663,0.0,0.0,0.0,0.0,0.0,0.0
97,train,0.12276767599374397,0.053155190149943035,0.06961248584380093,0.0,0.0,0.0,0.0,0.0,0.0
97,val,0.11383213678372787,0.04761576016743978,0.0662163766162881,0.0,0.0,0.0,0.0,0.0,0.0
98,train,0.1213933948769227,0.053033577601114906,0.0683598172758078,0.0,0.0,0.0,0.0,0.0,0.0
98,val,0.1125156607992589,0.04750218073527018,0.06501348006398872,0.0,0.0,0.0,0.0,0.0,0.0
99,train,0.12005576891335122,0.052915242513020835,0.06714052640033039,0.0,0.0,0.0,0.0,0.0,0.0
99,val,0.1112216636992312,0.04737917900085449,0.06384248469837671,0.0,0.0,0.0,0.0,0.0,0.0
100,train,0.11875177527870005,0.05279793421427409,0.06595384106442596,0.0,0.0,0.0,0.0,0.0,0.0
100,val,0.10996172243202235,0.04725906054178874,0.0627026618902336,0.0,0.0,0.0,0.0,0.0,0.0
101,train,0.11747699761940122,0.052678677241007485,0.06479832037839374,0.0,0.0,0.0,0.0,0.0,0.0
101,val,0.10873605259930275,0.04714340845743815,0.0615926441418646,0.0,0.0,0.0,0.0,0.0,0.0
102,train,0.11622981544436642,0.05255658785502116,0.06367322758934525,0.0,0.0,0.0,0.0,0.0,0.0
102,val,0.10753583105746559,0.04702409744262695,0.06051173361483863,0.0,0.0,0.0,0.0,0.0,0.0
103,train,0.11502750010924132,0.05245023409525553,0.06257726601398578,0.0,0.0,0.0,0.0,0.0,0.0
103,val,0.10637054581136145,0.04691184361775716,0.05945870219360429,0.0,0.0,0.0,0.0,0.0,0.0
104,train,0.1138489511746365,0.05233928044637044,0.06150967072826606,0.0,0.0,0.0,0.0,0.0,0.0
104,val,0.10522677872539188,0.046793956756591794,0.05843282196880008,0.0,0.0,0.0,0.0,0.0,0.0
105,train,0.11270598582120789,0.05223640124003093,0.06046958458117697,0.0,0.0,0.0,0.0,0.0,0.0
105,val,0.10411082219043932,0.04667754173278808,0.05743328045765124,0.0,0.0,0.0,0.0,0.0,0.0
106,train,0.11156440146239031,0.052108478546142575,0.05945592291624774,0.0,0.0,0.0,0.0,0.0,0.0
106,val,0.10303119912565295,0.04657215436299642,0.056459044762656535,0.0,0.0,0.0,0.0,0.0,0.0
107,train,0.11047294933129713,0.0520054817199707,0.05846746761132643,0.0,0.0,0.0,0.0,0.0,0.0
107,val,0.10197272266077681,0.046463759740193684,0.05550896292058312,0.0,0.0,0.0,0.0,0.0,0.0
108,train,0.10940139647741502,0.05189799626668294,0.05750340021073208,0.0,0.0,0.0,0.0,0.0,0.0
108,val,0.10095559908369592,0.04637333869934082,0.05458226038435509,0.0,0.0,0.0,0.0,0.0,0.0
109,train,0.10836330550775314,0.05180078824361165,0.05656251726414149,0.0,0.0,0.0,0.0,0.0,0.0
109,val,0.09996043907132557,0.0462826410929362,0.05367779797838936,0.0,0.0,0.0,0.0,0.0,0.0
110,train,0.10734685675619055,0.051702534357706706,0.05564432239848383,0.0,0.0,0.0,0.0,0.0,0.0
110,val,0.09897006236961446,0.04617495536804199,0.05279510700157247,0.0,0.0,0.0,0.0,0.0,0.0
111,train,0.10635238577761495,0.05160431861877442,0.054748067158840535,0.0,0.0,0.0,0.0,0.0,0.0
111,val,0.09803308389880777,0.04609960556030274,0.05193347833850504,0.0,0.0,0.0,0.0,0.0,0.0
112,train,0.1053910695767129,0.05151813824971517,0.05387293132699773,0.0,0.0,0.0,0.0,0.0,0.0
112,val,0.09709845913799765,0.04600632349650065,0.051092135641497005,0.0,0.0,0.0,0.0,0.0,0.0
113,train,0.10445495693658399,0.05143647193908692,0.05301848499749707,0.0,0.0,0.0,0.0,0.0,0.0
113,val,0.09620295864048742,0.045932286580403645,0.050270672060083774,0.0,0.0,0.0,0.0,0.0,0.0
114,train,0.10352430697956069,0.05134036382039388,0.052183943159166815,0.0,0.0,0.0,0.0,0.0,0.0
114,val,0.0953205804668642,0.04585224151611328,0.04946833895075093,0.0,0.0,0.0,0.0,0.0,0.0
115,train,0.10263747040217591,0.05126856486002604,0.05136890554214988,0.0,0.0,0.0,0.0,0.0,0.0
115,val,0.0944681494246884,0.04578338940938314,0.04868476001530525,0.0,0.0,0.0,0.0,0.0,0.0
116,train,0.10176344749414219,0.05119089126586914,0.05057255622827305,0.0,0.0,0.0,0.0,0.0,0.0
116,val,0.09362222286798821,0.045703064600626626,0.047919158267361595,0.0,0.0,0.0,0.0,0.0,0.0
117,train,0.10090583488941075,0.051111361185709636,0.04979447370370112,0.0,0.0,0.0,0.0,0.0,0.0
117,val,0.09280562372490893,0.04563449223836263,0.0471711314865463,0.0,0.0,0.0,0.0,0.0,0.0
118,train,0.100080522440506,0.05104627291361491,0.049034249526891095,0.0,0.0,0.0,0.0,0.0,0.0
118,val,0.09199350787699673,0.045553216934204104,0.04644029094279262,0.0,0.0,0.0,0.0,0.0,0.0
119,train,0.09926495645237261,0.05097335815429688,0.048291598298075736,0.0,0.0,0.0,0.0,0.0,0.0
119,val,0.09121835607081212,0.04549199422200521,0.045726361848806914,0.0,0.0,0.0,0.0,0.0,0.0
120,train,0.09846664568938754,0.05090087890625,0.047565766783137536,0.0,0.0,0.0,0.0,0.0,0.0
120,val,0.09045890793220068,0.04543028195699056,0.04502862597521012,0.0,0.0,0.0,0.0,0.0,0.0
121,train,0.09769681365873753,0.05084049860636393,0.0468563150523736,0.0,0.0,0.0,0.0,0.0,0.0
121,val,0.08972347742059748,0.04537681261698405,0.044346664803613434,0.0,0.0,0.0,0.0,0.0,0.0
122,train,0.09694459199668437,0.05078198115030925,0.04616261084637513,0.0,0.0,0.0,0.0,0.0,0.0
122,val,0.08900317177996513,0.04532329559326172,0.04367987618670341,0.0,0.0,0.0,0.0,0.0,0.0
123,train,0.09619693220197419,0.050712677637736,0.045484254564238186,0.0,0.0,0.0,0.0,0.0,0.0
123,val,0.08829005122198265,0.045262174606323244,0.043027876615659405,0.0,0.0,0.0,0.0,0.0,0.0
124,train,0.09547684576830881,0.05065585772196452,0.04482098804634429,0.0,0.0,0.0,0.0,0.0,0.0
124,val,0.08759268363263653,0.045202264785766604,0.04239041884686993,0.0,0.0,0.0,0.0,0.0,0.0
125,train,0.09477059610101415,0.050597852071126305,0.04417274402988785,0.0,0.0,0.0,0.0,0.0,0.0
125,val,0.08693426952580255,0.04516683260599772,0.041767436919804835,0.0,0.0,0.0,0.0,0.0,0.0
126,train,0.09408754354126721,0.05054908116658529,0.04353846237468192,0.0,0.0,0.0,0.0,0.0,0.0
